22ЖК1 учет
11КА3 Психология
12РФ3 Право
13ВИ1 Юриспруденция
21ЛЯ1 Документоведение
22ДЭ3 Инженерия
22ЗС2 Математика
21РИ1 Экономика
12ТН1 бизнес
23ЭХ2 экономика
12СЦ2 право
22ИБ3 дизайн
33ПЦ1 реставрирование
23СЛ1 Консервация
21ЩК1 публицистика
33РЮ1 Журналистика
23АТ2 Психология
12АЯ3 Медицина
31ЛЭ1 Стоматология
11ГГ3 Фармация
21ТЮ2 лингвистика
32ЖИ3 менеджмент
23ХС3 финансы
33АУ2 Наука
22ЕМ2 Разработка
22ЯЗ1 Интернет
11БН1 руководство
13НГ1 данные
31ГП1 творчество
31МЦ3 промышленность
31СО1 безопасность
22ДЛ3 оценка
11АЦ2 продажа
31БМ3 нефть
22ММ2 психология
32ДН2 орнитология
13ОЕ2 биология
13УТ3 медицина
33ЭК1 экономика
33СР1 строительство
21ЖЧ3 жизнеобеспечение
13НТ3 Филология
31ЭК2 судопроизводство
32КШ1 конструирование
12КХ2 экология
22НН1 предпринимательство
21ИГ1 информация
23ЮС2 юриспруденция
22ШО1 культурология
23ФШ2 финансирование
